ID,Subzone,Subzone Total,Total Males,Total Females,Total Chinese,Chinese Males,Chinese Females,Total Malays,Malay Males,Malay Females,Total Indians,Indian Males,Indian Females,Total Others,Others Male,Others_Females
281,SEMBAWANG NORTH,25540,12750,12790,17670,8760,8900,4220,2090,2120,2510,1360,1150,1150,530,610
282,SEMBAWANG SPRINGS,9090,4480,4610,7950,3930,4020,340,150,190,590,300,280,220,100,120
283,SEMBAWANG STRAITS,1910,980,930,1510,760,750,90,40,50,260,150,110,60,30,20
284,SENOKO NORTH,10,,,,,,,,,,,,,,
285,SENOKO SOUTH,30,,,,,,,,,,,,,,
286,THE WHARVES,,,,,,,,,,,,,,,
288,ANCHORVALE,48120,23700,24420,37360,18350,19010,5370,2650,2720,4190,2170,2030,1200,530,670
289,COMPASSVALE,20960,10170,10790,17830,8630,9200,1440,690,750,1290,670,620,400,180,220
290,FERNVALE,58800,28860,29950,45220,22190,23030,8140,4070,4080,3970,2030,1940,1470,570,900
291,LORONG HALUS NORTH,,,,,,,,,,,,,,,
292,RIVERVALE,59700,29460,30230,44390,21990,22410,7200,3560,3650,6490,3220,3270,1610,700,910
293,SENGKANG TOWN CENTRE,61790,30290,31500,48060,23540,24520,6420,3160,3250,5750,2930,2830,1560,660,900
294,SENGKANG WEST,10,,,,,,,,,,,,,,
296,LORONG CHUAN,8490,4090,4400,7640,3690,3950,50,20,30,470,230,240,320,150,180
297,SELETAR HILLS,14700,7250,7460,13060,6430,6630,160,80,90,1030,530,500,460,210,240
298,SERANGOON CENTRAL,24760,11800,12960,20750,9830,10920,1030,530,500,2420,1200,1220,560,240,320
299,SERANGOON GARDEN,36080,17220,18860,29920,14230,15690,1950,970,990,3180,1560,1620,1030,470,570
300,SERANGOON NORTH,15940,7840,8100,12580,6190,6380,1160,570,590,1910,960,950,300,120,180
301,SERANGOON NORTH IND ESTATE,10,,,,,,,,,,,,,,
302,UPPER PAYA LEBAR,16920,8160,8760,14820,7130,7690,510,250,260,1250,620,630,340,160,170
304,PULAU SELETAR,,,,,,,,,,,,,,,
305,SIMPANG NORTH,,,,,,,,,,,,,,,
306,SIMPANG SOUTH,,,,,,,,,,,,,,,
307,TANJONG IRAU,,,,,,,,,,,,,,,
309,BOAT QUAY,130,70,60,90,50,50,,,,10,10,10,30,20,10
310,CLARKE QUAY,130,70,50,80,40,40,,,,10,10,,40,20,10
311,ROBERTSON QUAY,3010,1390,1610,2130,950,1190,20,10,10,280,140,140,570,300,280
313,SENTOSA,1940,920,1020,1010,450,560,30,10,20,200,100,100,700,370,330
314,SOUTHERN GROUP,,,,,,,,,,,,,,,
316,STRAITS VIEW,,,,,,,,,,,,,,,
318,GALI BATU,30,,,,,,,,,,,,,,
319,KRANJI,10,,,,,,,,,,,,,,
320,PANG SUA,20,,,,,,,,,,,,,,
321,RESERVOIR VIEW,20,,,,,,,,,,,,,,
322,TURF CLUB,670,330,340,570,290,290,,,,80,40,40,20,10,10
324,SIMEI,39450,19050,20400,28460,13610,14850,4530,2230,2310,4810,2450,2370,1640,770,880
325,TAMPINES EAST,130980,63960,67010,84190,40920,43280,32470,15960,16510,10320,5320,5000,3990,1770,2220
326,TAMPINES NORTH,8040,3950,4090,5240,2570,2670,2200,1100,1100,400,200,190,210,80,130
327,TAMPINES WEST,79670,39150,40510,54290,26470,27820,17290,8630,8660,6050,3120,2930,2030,940,1100
328,XILIN,1760,890,880,1470,730,750,70,40,40,120,70,50,90,50,40
330,CHATSWORTH,6890,3190,3690,4770,2160,2610,70,30,40,1020,500,520,1030,510,520
331,NASSIM,9520,4410,5110,7460,3360,4100,110,50,60,710,370,350,1240,640,600
332,RIDOUT,1520,690,830,1090,500,600,10,,,160,70,80,270,120,150
333,TYERSALL,3880,1810,2070,2960,1360,1600,60,20,30,320,150,170,550,280,270
335,BRICKLAND,,,,,,,,,,,,,,,
336,FOREST HILL,10,,,,,,,,,,,,,,
337,GARDEN,,,,,,,,,,,,,,,
338,PARK,,,,,,,,,,,,,,,
339,PLANTATION,,,,,,,,,,,,,,,
340,TENGAH INDUSTRIAL ESTATE,,,,,,,,,,,,,,,
342,BIDADARI,,,,,,,,,,,,,,,
343,BOON TECK,14660,7210,7450,11280,5510,5770,2030,1020,1010,1020,540,480,340,150,200
344,BRADDELL,9810,4590,5210,7650,3530,4120,1130,560,570,690,340,350,330,160,170
345,JOO SENG,8150,4030,4120,7110,3510,3610,250,130,120,590,300,290,210,100,110
346,KIM KEAT,7960,3840,4130,6470,3120,3350,540,260,280,780,380,400,180,80,110
347,LORONG 8 TOA PAYOH,7160,3420,3730,5880,2820,3060,610,290,320,480,240,240,190,70,120
348,PEI CHUN,10360,4940,5420,8620,4120,4500,820,380,450,610,320,290,310,120,180
349,POTONG PASIR,11720,5660,6060,9750,4650,5100,520,270,260,1250,650,600,200,90,110
350,SENNETT,7190,3480,3720,6510,3130,3380,120,60,70,380,200,180,190,90,90
351,TOA PAYOH CENTRAL,28020,12960,15070,23620,10840,12780,1740,880,860,1780,850,930,870,380,490
352,TOA PAYOH WEST,14360,6570,7780,12240,5540,6700,640,320,320,870,460,410,610,260,350
353,WOODLEIGH,2450,1200,1260,2190,1060,1120,10,10,10,140,70,70,110,50,60
355,TENGEH,,,,,,,,,,,,,,,
356,TUAS BAY,10,,,,,,,,,,,,,,
357,TUAS NORTH,30,,,,,,,,,,,,,,
358,TUAS PROMENADE,10,,,,,,,,,,,,,,
359,TUAS VIEW,10,,,,,,,,,,,,,,
360,TUAS VIEW EXTENSION,10,,,,,,,,,,,,,,
362,JURONG ISLAND AND BUKOM,10,,,,,,,,,,,,,,
363,SEMAKAU,,,,,,,,,,,,,,,
364,SUDONG,,,,,,,,,,,,,,,
366,BAHAR,,,,,,,,,,,,,,,
367,CLEANTECH,,,,,,,,,,,,,,,
368,MURAI,640,290,350,510,220,290,,,,70,40,30,60,30,30
370,GREENWOOD PARK,40,,,,,,,,,,,,,,
371,MIDVIEW,35270,17660,17610,20870,10400,10470,9910,4940,4970,3760,1990,1780,740,330,400
372,NORTH COAST,12100,6130,5970,6840,3490,3350,3450,1720,1730,1600,820,770,220,100,120
373,SENOKO WEST,20,,,,,,,,,,,,,,
374,WOODGROVE,33790,16870,16920,21440,10590,10840,7870,3980,3890,3660,1920,1740,830,380,450
375,WOODLANDS EAST,98980,49490,49500,60510,30190,30320,24560,12260,12290,11420,5880,5530,2500,1150,1350
376,WOODLANDS REGIONAL CENTRE,10,,,,,,,,,,,,,,
377,WOODLANDS SOUTH,41000,20540,20470,25940,12900,13040,9850,4990,4870,4130,2130,2000,1080,520,560
378,WOODLANDS WEST,33910,17260,16650,19730,10120,9600,9840,5010,4830,3660,1860,1800,680,270,420
380,KHATIB,10250,4980,5270,7540,3660,3880,1430,700,730,980,490,490,300,130,170
381,LOWER SELETAR,18660,9240,9420,12890,6370,6520,3780,1910,1870,1510,770,740,480,190,290
382,NEE SOON,890,440,450,780,380,400,20,10,10,60,30,30,30,20,10
383,NORTHLAND,28000,13930,14070,17750,8820,8940,6290,3130,3160,3000,1530,1470,970,460,510
384,SPRINGLEAF,4370,2180,2190,4010,2000,2010,40,20,20,220,110,100,110,50,60
385,YISHUN CENTRAL,2620,1290,1340,2300,1130,1170,140,70,80,140,70,70,50,20,30
386,YISHUN EAST,60670,30030,30640,40290,19960,20330,12670,6260,6410,6110,3160,2940,1600,650,950
387,YISHUN SOUTH,42240,20670,21580,30680,15000,15680,6230,3100,3130,4230,2130,2090,1110,440,670
388,YISHUN WEST,53910,26720,27190,36930,18190,18730,9800,4950,4850,5720,2940,2780,1460,640,830
